"","name","price"
"1","
                        pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (Black)
                    ","799."
"2","
                        pTron Boom Ultima 4D Dual Driver, In Ear Gaming Wired Headphones with Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)
                    ","399."
"3","
                        pTron Studio Pixel Over-Ear Wireless Gaming Headphones with 30ms Low Latency, 40Hrs Playtime, 40mm Drivers, Punchy Bass, BT5.3, with HD Mic with ENC & Type-C Fast Charging (Black)
                    ","999."
"4","
                        pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)
                    ","349."
"5","
                        pTron Tangent Lite Bluetooth 5.0 Wireless in Ear Earphones with Hi-Fi Stereo Sound, 8Hrs Playtime, Lightweight Snug-fit, IPX4 Water Resistant, Fast Charge, Voice Assistant & in-line Mic (Black)
                    ","599."
"6","
                        pTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Snug-Fit, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black)
                    ","599."
"7","
                        pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (Black)
                    ","999."
"8","
                        pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging Neckband, Voice Assistant, IPX4 & in-line Controls (Black)
                    ","499."
"9","
                        pTron Bassbuds Pixel with Dedicated Movie/Gaming Mode, 50ms Low Latency, 35Hrs Total Playback Time, True Wireless Bluetooth 5.1 Headphones, Punchy Bass, Touch Control, & Type-C Fast Charging (White)
                    ","889."
"10","
                        pTron Bassbuds Jade Gaming Bluetooth Truly Wireless in-Ear Earbuds with Mic, 40Hrs Total Playtime with Case, 40ms Low Latency, Deep Bass, BT5.0, Dual Mic, Noise Cancellation & IPX4 Waterproof (Black)
                    ","1,299."
"11","
                        pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging, Voice Assistant, IPX4 & in-line Controls (Black & Blue)
                    ","499."
"12","
                        pTron Bassbuds Wave ENC Bluetooth 5.3 Wireless in-Ear TWS Earbuds with Mic, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Smooth Touch Control & Type-C Fast Charging (Grey)
                    ","999."
"13","
                        pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)
                    ","199."
"14","
                        Newly Launched pTron Bassbuds B21 TWS Earbuds with Bluetooth 5.2, Immersive Sound, Stereo Calls, 24Hrs Playtime, In-Ear Wireless Headphones, Lightweight, Touch Control, Voice Assistance & IPX4 (Black)
                    ","799."
"15","
                        pTron Bassbuds Plus True Wireless Bluetooth 5.0 in Ear Earbuds, Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Canceling, Digital Display Case & with HD Mic (Black)
                    ","799."
"16","
                        pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (Blue)
                    ","899."
"17","
                        pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (White)
                    ","899."
"18","
                        pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)
                    ","199."
"19","
                        pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux (Grey)
                    ","199."
"20","
                        pTron Volta Dual Port 12W Smart USB Charger Adapter, Multi-Layer Protection, Made in India, BIS Certified, Fast Charging Power Adaptor Without Cable for All iOS & Android Devices (Black)
                    ","199."
"21","
                        pTron Solero A15 3.5mm Male to Male Aux Cable, 90 Degree Connector, 1.5 Meter Long Stereo Audio Cable, Metal Shell, Gold-Plated Connectors with Strong Nylon Braided Cable (Grey)
                    ","199."
"22","
                        pTron Volta Dual Port 12W Smart USB Charger Adapter, Multi-Layer Protection, Made in India, BIS Certified, Fast Charging Power Adaptor Without Cable for All iOS & Android Devices (White)
                    ","199."
"23","
                        pTron Bassbuds Tango ENC (Environmental Noise Cancellation) TWS Earbuds, Movie Mode, 40Hrs Total Playtime, Bluetooth 5.1 Wireless Headphones, Deep Bass, Touch Control & Type-C Fast Charging (Black)
                    ","999."
"24","
                        pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (White)
                    ","999."
"25","
                        pTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Dark Blue)
                    ","699."
"26","
                        pTron Tangent Evo with 14Hrs Playback, Bluetooth 5.0 Wireless Headphones with Deep Bass, IPX4 Water Resistance, Ergonomic & Snug-fit, Voice Assistance, Magnetic Earbuds & Built-in HD Mic (Black)
                    ","549."
"27","
                        Newly Launched pTron Bassbuds Rush True Wireless In-Ear Earbuds with Gaming 40ms Low Latency, 35Hrs Playtime, Deep Bass, ENC Stereo Call, BT5.3 Earphone, 1-Step Pairing, Voice Assistant & IPX4 (Black)
                    ","1,299."
"28","
                        pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging, Voice Assistant, IPX4 & in-line Controls (Black & Green)
                    ","499."
"29","
                        PTron Boom Ultima V2 Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control, Passive Noise Cancelling Boom 3 Earphones with 3.5mm Audio Jack & 1.2M Tangle-Free Cable (Black)
                    ","399."
"30","
                        pTron Bassbuds Eon Truly Wireless in Ear Earbuds with Mic,ENC, 13mm Driver, Immersive Sound, BT 5.3, Quick Pairing, Touch Control, Fast Charging & Upto 30Hrs Playtime, IPX4 & Voice Asst (Grey/Black)
                    ","999."
